No.,Site name,long,lat,Elev. (m),Tann,Mtco,Mtwa,GDD5,GDD0,Pann,Drought,MI,Sedtype
112,China 032,100.105,25.685,3287,7.470833333,2.1,12.3,1127.6,2734.1,1091.01,0.119,1.28,4
113,China 033,100.175,26.315,2255,13.50916667,6.4,19.6,3114.7,4939.7,809.61,0.275,0.796,4
114,China 034,121.435,24.795,1170,11.26,2.7,18.7,2416.5,4125.1,1583.4,0.017,1.718,4
115,China 035,121.435,24.795,1260,11.26,2.7,18.7,2416.5,4125.1,1583.4,0.017,1.718,4
116,China 036,113.035,25.955,140,17.86166667,5.9,29.1,4712.6,6537.6,1381.19,0.014,1.422,6
118,China 038,113.305,22.475,-18,22.065,14,28.6,6240.4,8065.4,1831.22,0.014,1.613,4
120,China 040,121.445,24.795,1295,10.7775,2.2,18.2,2279,3949,1609.69,0.017,1.769,4
121,China 041,100.675,21.835,560,16.58166667,11.6,20.1,4232.4,6057.4,1597.14,0.143,1.489,4
122,China 042,106.755,26.455,1070,14.23166667,4.6,22.7,3387.3,5208.3,1144.4,0.015,1.384,4
123,China 043,121.445,24.785,1480,11.76583333,3.2,19.2,2566.2,4309.8,1554.84,0.017,1.664,4
124,China 044,121.435,24.795,1240,11.26,2.7,18.7,2416.5,4125.1,1583.4,0.017,1.718,4
125,China 045,100.105,25.685,3308,7.470833333,2.1,12.3,1127.6,2734.1,1091.01,0.119,1.28,4
126,China 046,116.635,23.555,5,21.4025,13.7,28.3,5999.4,7824.4,1673.86,0.02,1.439,4
127,China 047,110.705,19.605,45,24.23,18.3,28.5,7026.2,8851.2,1838.19,0.052,1.432,4
128,China 048,109.205,19.805,2,24.155,17.7,28.9,6999.6,8824.6,1568.25,0.116,1.205,4
129,China 049,109.605,19.905,2,24.03416667,17.6,28.8,6955.4,8780.4,1656.55,0.09,1.291,4
130,China 050,109.205,19.805,1,24.155,17.7,28.9,6999.6,8824.6,1568.25,0.116,1.205,4
131,China 051,113.135,23.335,-15,21.74083333,13.4,28.8,6123,7948,1829.92,0.014,1.658,4
