taxon_name,abbrev
Ulmus spp.,Ulmus spp.
Urtica spp.,Urtica spp.
Valeriana-type,Valeriana-T
Veratrum spp.,Veratrum spp.
Zygophyllum spp.,Zygophyllum spp.
Core section label (Sec label),Sec label
Lycopodium spores added,Lyc.added
"Marker, added",Mark add
Pinus wallichiana-type,P. wallichiana-T
Pinus roxburghii-type,P. roxburghii-T
Taxus,Tax
Alnus viridis-type,Aln.v-T
Alnus glutinosa-type,Aln.g-T
Juglans regia-type,J. regia-T
Betula alnoides-type,B. alnoides-T
Swertia sect. Ophelia-type,S. sect. Ophelia-T
Primula,Pri
Caltha/Aquilegia-type,Caltha/Aquilegia-T
Rhinanthus-type,Rhi-T
Elymus-type,Ely-T
Cyperaceae undifferentiated,Cypae.ud
Schoenus-type,Sch-T
Schoenoplectus-type,Sce-T
Indeterminable: degraded,Ind.degr
Indeterminable: crumpled,Ind.crum
"Pteridophyta, trilete indeterminata",Ptd.t.indet
"Pteridophyta, monolete indeterminata",Ptd.m.indet
Desmidiaceae,Deseae
Chitinous fragments,Chit fragm
Chitinous claws,Chit claws
Chitinous extremities,Chit extrem
Thecamoeba,Thecamoeba
Artemisia/Chenopodiaceae index,A/C
sum trees and shrubs,s trees+shrubs
sum broadleaved trees,s broadl trees
sum broadleaved shrubs,s broadl shrubs
"sum dwarf shrubs, herbs and graminoids",s shrubs+herbs+gram
sum pteridophyta,s pteridophyta
Sum algae,s algae
sum non-pollen-palynomorphs,s n-pollen-palyn
sum indetermined pollen,s indet pollen
sum basic pollen,s basic pollen
Pteridophytes,Pteridophytes
Algae,Alg
"Palynomorpha, non-pollen",non-pollen
Elaeagnus,Elaeagnus
Hippophae,Hipp
Asteraceae,Asterac
Polygonaceae,Polygonaceae
Polypodiaceae,Polypo
Pteris,Pteris
"Pollen, conifers",Pollen conif
"Pollen, broadleaves",Pollen broadl
"Pollen, shrubs",Pollen shrubs
"Pollen, herbs",Pollen herbs
"Pollen, total",Pollen tot
